d band center is: -2.349591536296602 eV
energy      spin1_Cu                   spin2_Cu
-10.005     0.000200943               0.000200943               
-9.995     0.000275289               0.000275289               
-9.985     0.000282473               0.000282473               
-9.975     0.000234512               0.000234512               
-9.965     0.000205359               0.000205359               
-9.955     0.000188759               0.000188759               
-9.945     0.000139908               0.000139908               
-9.934     0.000060106               0.000060106               
-9.925     0.000011711               0.000011711               
-9.915     0.000000913               0.000000913               
-9.905     0.000000027               0.000000027               
-9.895     0.000000000               0.000000000               
-9.885     0.000000000               0.000000000               
-9.875     0.000000000               0.000000000               
-9.865     0.000000000               0.000000000               
-9.854     0.000000000               0.000000000               
-9.845     0.000000000               0.000000000               
-9.835     0.000000000               0.000000000               
-9.825     0.000000000               0.000000000               
-9.815     0.000000000               0.000000000               
-9.805     0.000000000               0.000000000               
-9.795     0.000000000               0.000000000               
-9.785     0.000000000               0.000000000               
-9.775     0.000000000               0.000000000               
-9.764     0.000000000               0.000000000               
-9.755     0.000000000               0.000000000               
-9.745     0.000000000               0.000000000               
-9.735     0.000000000               0.000000000               
-9.725     0.000000000               0.000000000               
-9.715     0.000000013               0.000000013               
-9.705     0.000000443               0.000000443               
-9.695     0.000005399               0.000005399               
-9.684     0.000024197               0.000024197               
-9.675     0.000039894               0.000039894               
-9.665     0.000024197               0.000024197               
-9.655     0.000005412               0.000005412               
-9.645     0.000000913               0.000000913               
-9.635     0.000006326               0.000006326               
-9.625     0.000035909               0.000035909               
-9.615     0.000100027               0.000100027               
-9.604     0.000164978               0.000164978               
-9.595     0.000204486               0.000204486               
-9.585     0.000247924               0.000247924               
-9.575     0.000279775               0.000279775               
-9.565     0.000248408               0.000248408               
-9.555     0.000211255               0.000211255               
-9.545     0.000206755               0.000206755               
-9.535     0.000230536               0.000230536               
-9.525     0.000275803               0.000275803               
-9.514     0.000324184               0.000324184               
-9.505     0.000369034               0.000369034               
-9.495     0.000388275               0.000388275               
-9.485     0.000369491               0.000369491               
-9.475     0.000330039               0.000330039               
-9.465     0.000305856               0.000305856               
-9.455     0.000300457               0.000300457               
-9.445     0.000300013               0.000300013               
-9.434     0.000300000               0.000300000               
-9.425     0.000300000               0.000300000               
-9.415     0.000300000               0.000300000               
-9.405     0.000299960               0.000299960               
-9.395     0.000298630               0.000298630               
-9.385     0.000282433               0.000282433               
-9.375     0.000209842               0.000209842               
-9.365     0.000090158               0.000090158               
-9.354     0.000017567               0.000017567               
-9.345     0.000001370               0.000001370               
-9.335     0.000000040               0.000000040               
-9.325     0.000000000               0.000000000               
-9.315     0.000000000               0.000000000               
-9.305     0.000000000               0.000000000               
-9.295     0.000000000               0.000000000               
-9.285     0.000000000               0.000000000               
-9.275     0.000000000               0.000000000               
-9.264     0.000000000               0.000000000               
-9.255     0.000000000               0.000000000               
-9.245     0.000000000               0.000000000               
-9.235     0.000000000               0.000000000               
-9.225     0.000000000               0.000000000               
-9.215     0.000000000               0.000000000               
-9.205     0.000000000               0.000000000               
-9.195     0.000000000               0.000000000               
-9.184     0.000000000               0.000000000               
-9.175     0.000000000               0.000000000               
-9.165     0.000000000               0.000000000               
-9.155     0.000000000               0.000000000               
-9.145     0.000000000               0.000000000               
-9.135     0.000000000               0.000000000               
-9.125     0.000000000               0.000000000               
-9.115     0.000000000               0.000000000               
-9.104     0.000000000               0.000000000               
-9.095     0.000000000               0.000000000               
-9.085     0.000000000               0.000000000               
-9.075     0.000000000               0.000000000               
-9.065     0.000000000               0.000000000               
-9.055     0.000000000               0.000000000               
-9.045     0.000000000               0.000000000               
-9.035     0.000000000               0.000000000               
-9.025     0.000000000               0.000000000               
-9.014     0.000000000               0.000000000               
-9.005     0.000000000               0.000000000               
-8.995     0.000000000               0.000000000               
-8.985     0.000000013               0.000000013               
-8.975     0.000000497               0.000000497               
-8.965     0.000007266               0.000007266               
-8.955     0.000048990               0.000048990               
-8.945     0.000177673               0.000177673               
-8.934     0.000394144               0.000394144               
-8.925     0.000591778               0.000591778               
-8.915     0.000679667               0.000679667               
-8.905     0.000680580               0.000680580               
-8.895     0.000604402               0.000604402               
-8.885     0.000465975               0.000465975               
-8.875     0.000378143               0.000378143               
-8.865     0.000383485               0.000383485               
-8.854     0.000430550               0.000430550               
-8.845     0.000499597               0.000499597               
-8.835     0.000565448               0.000565448               
-8.825     0.000611241               0.000611241               
-8.815     0.000689125               0.000689125               
-8.805     0.000800320               0.000800320               
-8.795     0.000805535               0.000805535               
-8.785     0.000588261               0.000588261               
-8.775     0.000246238               0.000246238               
-8.764     0.000047302               0.000047302               
-8.755     0.000003666               0.000003666               
-8.745     0.000000107               0.000000107               
-8.735     0.000000000               0.000000000               
-8.725     0.000000000               0.000000000               
-8.715     0.000000000               0.000000000               
-8.705     0.000000000               0.000000000               
-8.695     0.000000000               0.000000000               
-8.684     0.000000000               0.000000000               
-8.675     0.000000000               0.000000000               
-8.665     0.000000000               0.000000000               
-8.655     0.000000000               0.000000000               
-8.645     0.000000000               0.000000000               
-8.635     0.000000000               0.000000000               
-8.625     0.000000000               0.000000000               
-8.615     0.000000000               0.000000000               
-8.604     0.000000000               0.000000000               
-8.595     0.000000000               0.000000000               
-8.585     0.000000000               0.000000000               
-8.575     0.000000000               0.000000000               
-8.565     0.000000000               0.000000000               
-8.555     0.000000000               0.000000000               
-8.545     0.000000000               0.000000000               
-8.535     0.000000000               0.000000000               
-8.525     0.000000000               0.000000000               
-8.514     0.000000000               0.000000000               
-8.505     0.000000000               0.000000000               
-8.495     0.000000000               0.000000000               
-8.485     0.000000000               0.000000000               
-8.475     0.000000000               0.000000000               
-8.465     0.000000000               0.000000000               
-8.455     0.000000000               0.000000000               
-8.445     0.000000000               0.000000000               
